"Date","Price","Open","High","Low","Vol.","Change %"
"03/09/2026","71.150","72.900","72.900","71.150","0.51K","-3.02%"
"02/09/2026","73.365","74.255","74.255","72.210","0.27K","1.59%"
"01/09/2026","72.218","71.330","72.175","70.910","0.57K","3.45%"
"31/08/2026","69.809","69.980","70.505","69.980","0.12K","4.23%"
"28/08/2026","66.979","68.930","69.010","66.555","0.93K","-1.64%"
"27/08/2026","68.095","67.850","67.850","67.850","0.02K","3.76%"
"26/08/2026","65.626","64.275","64.360","63.800","0.08K","-1.44%"
"25/08/2026","66.588","66.725","66.825","65.835","0.10K","-2.54%"
"24/08/2026","68.320","67.530","68.565","67.500","0.24K","3.73%"
"21/08/2026","65.865","66.265","66.790","65.700","0.45K","0.87%"
"20/08/2026","65.295","64.455","65.690","64.455","0.35K","3.02%"
"19/08/2026","63.381","63.400","63.460","62.740","0.24K","-0.42%"
"18/08/2026","63.646","62.580","63.915","62.580","0.74K","3.06%"
"17/08/2026","61.757","61.850","62.350","61.265","0.69K","0.54%"
"14/08/2026","61.424","60.935","61.510","60.730","0.40K","1.70%"
"13/08/2026","60.400","60.785","60.910","60.590","0.53K","-1.02%"
"12/08/2026","61.021","60.660","61.070","59.355","0.67K","3.89%"
"11/08/2026","58.735","60.885","60.885","58.595","0.47K","-3.39%"
"10/08/2026","60.798","56.840","61.640","56.840","0.81K","9.46%"
"07/08/2026","55.544","57.230","57.230","54.540","0.60K","-0.40%"
"06/08/2026","55.769","54.275","55.770","54.275","0.35K","6.42%"
"05/08/2026","52.404","55.260","55.260","51.915","0.36K","-6.29%"
"04/08/2026","55.921","59.000","60.330","54.225","1.24K","-2.75%"
"03/08/2026","57.505","56.925","58.305","56.925","0.33K","-2.65%"
"31/07/2026","59.071","59.785","60.100","58.950","0.07K","1.53%"
"30/07/2026","58.181","58.181","58.181","58.181","","-3.71%"
"29/07/2026","60.420","58.910","61.495","58.910","0.09K","4.65%"
"28/07/2026","57.737","56.750","57.075","56.565","0.15K","-0.89%"
