"Date, Open, High, Low, Close, Volume"
"Oct-23-2017,18.09,18.09,18.09,18.09,0"
"Oct-24-2017,17.96,17.96,17.96,17.96,0"
"Oct-25-2017,18.11,18.11,18.11,18.11,0"
"Oct-26-2017,18.07,18.07,18.07,18.07,0"
"Oct-27-2017,18.15,18.15,18.15,18.15,0"
"Oct-30-2017,18.11,18.11,18.11,18.11,0"
"Oct-31-2017,18.29,18.29,18.29,18.29,0"
"Nov-1-2017,18.55,18.55,18.55,18.55,0"
"Nov-2-2017,18.58,18.58,18.58,18.58,0"
"Nov-3-2017,18.31,18.31,18.31,18.31,0"
"Nov-6-2017,19.01,19.01,19.01,19.01,0"
"Nov-7-2017,19.33,19.33,19.33,19.33,0"
"Nov-8-2017,19.38,19.38,19.38,19.38,0"
"Nov-9-2017,19.52,19.52,19.52,19.52,0"
"Nov-10-2017,19.82,19.82,19.82,19.82,0"
"Nov-13-2017,19.91,19.91,19.91,19.91,0"
"Nov-14-2017,19.34,19.34,19.34,19.34,0"
"Nov-15-2017,19.02,19.02,19.02,19.02,0"
"Nov-16-2017,19.20,19.20,19.20,19.20,0"
"Nov-17-2017,18.95,18.95,18.95,18.95,0"
"Nov-20-2017,19.50,19.50,19.50,19.50,0"
"Nov-21-2017,19.84,19.84,19.84,19.84,0"
"Nov-22-2017,19.70,19.70,19.70,19.70,0"
"Nov-24-2017,20.46,20.46,20.46,20.46,0"
"Nov-27-2017,20.68,20.68,20.68,20.68,0"
"Nov-28-2017,20.28,20.28,20.28,20.28,0"
"Nov-29-2017,20.35,20.35,20.35,20.35,0"
"Nov-30-2017,20.31,20.31,20.31,20.31,0"
"Dec-1-2017,20.79,20.79,20.79,20.79,0"
"Dec-4-2017,21.38,21.38,21.38,21.38,0"
"Dec-5-2017,21.41,21.41,21.41,21.41,0"
"Dec-6-2017,21.17,21.17,21.17,21.17,0"
"Dec-7-2017,21.27,21.27,21.27,21.27,0"
"Dec-8-2017,20.89,20.89,20.89,20.89,0"
"Dec-11-2017,21.14,21.14,21.14,21.14,0"
"Dec-12-2017,21.73,21.73,21.73,21.73,0"
"Dec-13-2017,20.68,20.68,20.68,20.68,0"
"Dec-14-2017,21.03,21.03,21.03,21.03,0"
"Dec-15-2017,21.01,21.01,21.01,21.01,0"
