Date,Price,Open,High,Low,Vol.,Change %
2026-09-03,24.09,24.09,24.09,24.09,,1.39%
2026-09-02,23.76,23.76,23.76,23.76,,0.61%
2026-09-01,23.615,23.615,23.615,23.615,,4.01%
2026-08-31,22.705,22.705,22.705,22.705,,-2.03%
2026-08-28,23.175,23.175,23.175,23.175,,-1.00%
2026-08-27,23.41,23.41,23.41,23.41,,2.03%
2026-08-26,22.945,22.945,22.945,22.945,,-1.61%
2026-08-25,23.32,23.32,23.32,23.32,,-0.81%
2026-08-24,23.51,23.51,23.51,23.51,,2.48%
2026-08-21,22.94,22.94,22.94,22.94,,1.46%
2026-08-20,22.61,22.61,22.61,22.61,,2.38%
2026-08-19,22.085,22.085,22.085,22.085,,0.91%
2026-08-18,21.885,21.885,21.885,21.885,,1.25%
2026-08-17,21.615,21.615,21.615,21.615,,1.87%
2026-08-14,21.219,21.219,21.219,21.219,,0.11%
2026-08-13,21.195,21.195,21.195,21.195,,-0.21%
2026-08-12,21.24,21.24,21.24,21.24,,0.26%
2026-08-11,21.185,21.185,21.185,21.185,,-0.35%
2026-08-10,21.26,21.26,21.26,21.26,,0.69%
2026-08-07,21.115,21.115,21.115,21.115,,-0.12%
2026-08-06,21.14,21.14,21.14,21.14,,1.08%
2026-08-05,20.915,20.915,20.915,20.915,,-1.23%
2026-08-04,21.175,21.175,21.175,21.175,,-0.38%
2026-08-03,21.255,21.255,21.255,21.255,,-0.91%
2026-07-31,21.45,21.45,21.45,21.45,,0.35%
2026-07-30,21.375,21.375,21.375,21.375,,-0.26%
2026-07-29,21.43,21.43,21.43,21.43,,0.49%
2026-07-28,21.325,21.325,21.325,21.325,,-0.49%
2026-07-27,21.43,21.43,21.43,21.43,,-2.59%
2026-07-24,22.0,22.0,22.0,22.0,,0.80%
2026-07-23,21.825,21.825,21.825,21.825,,-0.80%
2026-07-22,22.0,22.0,22.0,22.0,,3.12%
2026-07-21,21.335,21.335,21.335,21.335,,1.47%
2026-07-20,21.025,21.025,21.025,21.025,,0.19%
2026-07-17,20.985,20.985,20.985,20.985,,5.32%
2026-07-16,19.925,19.925,19.925,19.925,,18.54%
2026-07-15,16.808,16.808,16.808,16.808,,0.92%
2026-07-14,16.655,16.655,16.655,16.655,,0.76%
2026-07-13,16.53,16.53,16.53,16.53,,0.06%
2026-07-10,16.52,16.52,16.52,16.52,,-0.33%
2026-07-09,16.575,16.575,16.575,16.575,,0.39%
2026-07-08,16.51,16.51,16.51,16.51,,2.07%
2026-07-07,16.175,16.175,16.175,16.175,,0.68%
2026-07-06,16.065,16.065,16.065,16.065,,-0.09%
2026-07-02,16.08,16.08,16.08,16.08,,0.34%
2026-07-01,16.025,16.025,16.025,16.025,,-0.16%
2026-06-30,16.05,16.05,16.05,16.05,,1.45%
2026-06-29,15.82,15.82,15.82,15.82,,1.90%
2026-06-26,15.525,15.525,15.525,15.525,,0.91%
2026-06-25,15.385,15.385,15.385,15.385,,-1.06%
2026-06-24,15.55,15.55,15.55,15.55,,-1.21%
2026-06-23,15.74,15.74,15.74,15.74,,-0.76%
2026-06-22,15.86,15.86,15.86,15.86,,3.56%
2026-06-18,15.315,15.315,15.315,15.315,,-3.19%
2026-06-17,15.82,15.82,15.82,15.82,,-0.75%
2026-06-16,15.94,15.94,15.94,15.94,,-15.14%
2026-06-15,18.783,18.783,18.783,18.783,,-0.38%
2026-06-12,18.855,18.855,18.855,18.855,,-0.34%
2026-06-11,18.92,18.92,18.92,18.92,,0.03%
2026-06-10,18.915,18.915,18.915,18.915,,0.16%
2026-06-09,18.885,18.885,18.885,18.885,,-0.05%
2026-06-08,18.895,18.895,18.895,18.895,,0.64%
2026-06-05,18.775,18.775,18.775,18.775,,0.05%
2026-06-04,18.765,18.765,18.765,18.765,,-0.27%
2026-06-03,18.815,18.815,18.815,18.815,,1.10%
2026-06-02,18.61,18.61,18.61,18.61,,-0.40%
2026-06-01,18.685,18.685,18.685,18.685,,2.10%
2026-05-29,18.3,18.3,18.3,18.3,,-0.19%
2026-05-28,18.335,18.335,18.335,18.335,,0.55%
2026-05-27,18.235,18.235,18.235,18.235,,-1.03%
2026-05-26,18.425,18.425,18.425,18.425,,-2.05%
2026-05-22,18.81,18.81,18.81,18.81,,-0.58%
2026-05-21,18.92,18.92,18.92,18.92,,0.08%
2026-05-20,18.905,18.905,18.905,18.905,,-3.62%
2026-05-19,19.615,19.615,19.615,19.615,,3.45%
2026-05-18,18.96,18.96,18.96,18.96,,10.84%
2026-05-15,17.105,17.105,17.105,17.105,,0.23%
2026-05-14,17.065,17.065,17.065,17.065,,0.26%
2026-05-13,17.02,17.02,17.02,17.02,,0.21%
2026-05-12,16.985,16.985,16.985,16.985,,0.24%
2026-05-11,16.945,16.945,16.945,16.945,,0.44%
2026-05-08,16.87,16.87,16.87,16.87,,0.18%
2026-05-07,16.84,16.84,16.84,16.84,,-0.06%
2026-05-06,16.85,16.85,16.85,16.85,,-1.09%
2026-05-05,17.035,17.035,17.035,17.035,,1.01%
2026-05-04,16.865,16.865,16.865,16.865,,0.00%
2026-05-01,16.865,16.865,16.865,16.865,,-0.24%
2026-04-30,16.905,16.905,16.905,16.905,,-0.35%
2026-04-29,16.965,16.965,16.965,16.965,,2.94%
2026-04-28,16.48,16.48,16.48,16.48,,-0.45%
2026-04-27,16.555,16.555,16.555,16.555,,0.03%
2026-04-24,16.55,16.55,16.55,16.55,,0.98%
2026-04-23,16.39,16.39,16.39,16.39,,1.64%
2026-04-22,16.125,16.125,16.125,16.125,,1.99%
2026-04-21,15.81,15.81,15.81,15.81,,3.77%
2026-04-20,15.235,15.235,15.235,15.235,,1.57%
2026-04-17,15.0,15.0,15.0,15.0,,-7.01%
2026-04-16,16.13,16.13,16.13,16.13,,-15.98%
2026-04-15,19.198,19.198,19.198,19.198,,-0.79%
2026-04-14,19.35,19.35,19.35,19.35,,-0.46%
2026-04-13,19.44,19.44,19.44,19.44,,0.10%
2026-04-10,19.42,19.42,19.42,19.42,,-0.38%
2026-04-09,19.495,19.495,19.495,19.495,,0.03%
2026-04-08,19.49,19.49,19.49,19.49,,-1.89%
2026-04-07,19.865,19.865,19.865,19.865,,-0.50%
2026-04-06,19.965,19.965,19.965,19.965,,0.00%
2026-04-03,19.965,19.965,19.965,19.965,,0.00%
2026-04-02,19.965,19.965,19.965,19.965,,0.68%
2026-04-01,19.83,19.83,19.83,19.83,,-1.49%
2026-03-31,20.13,20.13,20.13,20.13,,-1.95%
2026-03-30,20.53,20.53,20.53,20.53,,0.66%
2026-03-27,20.395,20.395,20.395,20.395,,-0.49%
2026-03-26,20.495,20.495,20.495,20.495,,2.53%
2026-03-25,19.99,19.99,19.99,19.99,,-2.61%
2026-03-24,20.525,20.525,20.525,20.525,,-2.26%
2026-03-23,21.0,21.0,21.0,21.0,,-3.25%
2026-03-20,21.705,21.705,21.705,21.705,,-2.89%
2026-03-19,22.35,22.35,22.35,22.35,,10.78%
2026-03-18,20.175,20.175,20.175,20.175,,3.94%
2026-03-17,19.41,19.41,19.41,19.41,,0.70%
2026-03-16,19.275,19.275,19.275,19.275,,19.09%
