Date,Price,Open,High,Low,Vol.,Change %,Price_MMBtu,EURUSD,Price_USD_MMBtu
2017-10-23,18.09,18.09,18.09,18.09,,-44.81%,5.30165439,1.1762,6.235805893518
2017-10-24,17.96,17.96,17.96,17.96,,-0.72%,5.263555160000001,1.1766,6.193099001256002
2017-10-25,18.11,18.11,18.11,18.11,,0.84%,5.30751581,1.1802,6.263930158961999
2017-10-26,18.07,18.07,18.07,18.07,,-0.22%,5.295792970000001,1.17,6.196077774900001
2017-10-27,18.15,18.15,18.15,18.15,,0.44%,5.31923865,1.158,6.1596783567
2017-10-30,18.11,18.11,18.11,18.11,,-0.22%,5.30751581,1.1626,6.170517880706
2017-10-31,18.285,18.285,18.285,18.285,,0.97%,5.358803235000001,1.1648,6.241934008128001
2017-11-01,18.55,18.55,18.55,18.55,,1.45%,5.436467050000001,1.1618,6.3160874186900005
2017-11-02,18.58,18.58,18.58,18.58,,0.16%,5.44525918,1.1672,6.355706514896
2017-11-03,18.31,18.31,18.31,18.31,,-1.45%,5.36613001,1.1616,6.233296619616
2017-11-06,19.01,19.01,19.01,19.01,,3.82%,5.571279710000001,1.16,6.4626844636000005
2017-11-07,19.325,19.325,19.325,19.325,,1.66%,5.663597075,1.1577,6.5567463337275
2017-11-08,19.38,19.38,19.38,19.38,,0.28%,5.67971598,1.1591,6.583358792418
2017-11-09,19.515,19.515,19.515,19.515,,0.70%,5.719280565000001,1.1648,6.6618180021120015
2017-11-10,19.82,19.82,19.82,19.82,,1.56%,5.80866722,,
2017-11-13,19.905,19.905,19.905,19.905,,0.43%,5.833578255000001,1.1656,6.799618814028001
2017-11-14,19.335,19.335,19.335,19.335,,-2.86%,5.666527785,1.1764,6.666103286274
2017-11-15,19.015,19.015,19.015,19.015,,-1.66%,5.572745065,1.1794,6.572495529661
2017-11-16,19.2,19.2,19.2,19.2,,0.97%,5.6269632000000005,1.1772,6.6240610790400005
2017-11-17,18.95,18.95,18.95,18.95,,-1.30%,5.55369545,1.1799,6.552805261455
2017-11-20,19.5,19.5,19.5,19.5,,2.90%,5.7148845,1.1741,6.70984589145
2017-11-21,19.84,19.84,19.84,19.84,,1.74%,5.814528640000001,1.1741,6.826838076224
2017-11-22,19.7,19.7,19.7,19.7,,-0.71%,5.7734987,1.1789,6.806377617430001
2017-11-24,20.455,20.455,20.455,20.455,,3.83%,5.994767305,1.1936,7.155354255248
2017-11-27,20.68,20.68,20.68,20.68,,1.10%,6.06070828,1.1911,7.218909632308001
2017-11-28,20.28,20.28,20.28,20.28,,-1.93%,5.943479880000001,1.1878,7.059665401464001
2017-11-29,20.35,20.35,20.35,20.35,,0.35%,5.963994850000001,1.1858,7.07210509313
2017-11-30,20.305,20.305,20.305,20.305,,-0.22%,5.950806655,1.1898,7.080269758119
2017-12-01,20.79,20.79,20.79,20.79,,2.39%,6.09294609,1.191,7.25669879319
2017-12-04,21.375,21.375,21.375,21.375,,2.81%,6.264392625,1.1848,7.4220523821
2017-12-05,21.405,21.405,21.405,21.405,,0.14%,6.273184755000001,1.182,7.41490438041
2017-12-06,21.165,21.165,21.165,21.165,,-1.12%,6.202847715,1.1788,7.311916886442
2017-12-07,21.265,21.265,21.265,21.265,,0.47%,6.232154815,1.179,7.347710526885001
2017-12-08,20.89,20.89,20.89,20.89,,-1.76%,6.12225319,1.1761,7.200381976759
2017-12-11,21.135,21.135,21.135,21.135,,1.17%,6.194055585000001,1.1802,7.310224401417001
2017-12-12,21.73,21.73,21.73,21.73,,2.82%,6.368432830000001,1.1725,7.466987493175002
2017-12-13,20.675,20.675,20.675,20.675,,-4.86%,6.059242925,1.1762,7.126881528385
2017-12-14,21.025,21.025,21.025,21.025,,1.69%,6.161817775,1.1778,7.257388975395
2017-12-15,21.01,21.01,21.01,21.01,,-0.07%,6.157421710000001,1.1778,7.252211290038002
2017-12-18,20.46,20.46,20.46,20.46,,-2.62%,5.99623266,1.1804,7.077953031864
2017-12-19,19.95,19.95,19.95,19.95,,-2.49%,5.8467664500000005,1.1822,6.91204729719
2017-12-20,20.295,20.295,20.295,20.295,,1.73%,5.947875945000001,1.1881,7.0666714102545
2017-12-21,20.0,20.0,20.0,20.0,,-1.45%,5.861420000000001,1.1872,6.958677824000001
2017-12-22,19.665,19.665,19.665,19.665,,-1.67%,5.763241215,1.1839,6.8231012744385
2017-12-26,19.665,19.665,19.665,19.665,,0.00%,5.763241215,1.1867,6.8392383498405005
2017-12-27,19.19,19.19,19.19,19.19,,-2.42%,5.624032490000001,1.1902,6.693723469598001
2017-12-28,19.705,19.705,19.705,19.705,,2.68%,5.774964055,1.1952,6.902237038536
2017-12-29,19.62,19.62,19.62,19.62,,-0.43%,5.750053020000001,1.2022,6.912713740644001
2018-01-02,19.32,19.32,19.32,19.32,,-1.53%,5.6621317200000005,1.205,6.822868722600001
2018-01-03,19.325,19.325,19.325,19.325,,0.03%,5.663597075,1.203,6.813307281225001
